label,narrative
Procedure,The 757 fleet (and possibly others) has a deferral that allows the aircraft to operate for a specific number of cycles if a passenger cell phone or other electronic device falls down a gap in the cabin sidewall into the cargo pit and cannot be located. Maintenance usually tries to look for the phone; to include disassembling some of the cargo pit panels - but if they can't find it in a 'reasonable' amount of time then a deferral is created and additional flights are authorized.The FAA website says this about devices with lithium batteries: 'Devices containing lithium metal batteries or lithium-ion batteries; including - but not limited to - smartphones; tablets; cameras and laptops; should be kept in carry-on baggage. If these devices are packed in checked baggage; they should be turned completely off; protected from accidental activation and packed so they are protected from damage.'We have provisions for Dangerous Goods being shipped as freight; being used by crew on the airplane; as part of installed equipment; and being carried by passengers or crew on their person; in carry-on bags; and in checked bags. There are no Dangerous Goods provisions providing for lost dangerous goods floating around the airplane somewhere.The concern here is the potential for damage and subsequent fire. We won't even let a passenger move a seat if they drop their phone in the seat - yet somehow; it's okay to drop a phone into the cargo area where it could easily be damaged by the cargo loading system or something else? How is this safe? Or even legal? If a lost device with lithium battery gets crushed and catches on fire; we are not going to be able to fight that fire.I'd like to know specifically what kind of risk analysis (if any) was done for this deferral.
Human Factors,Detected an odor onboard the aircraft; similar to burning Lithium Ion battery. After takeoff I noticed there's [smoke] or a cloud around the exit row. After confirming it with a aft FA (Flight Attendant); called the Captain and I told him there's a smoke [area] and I'm going to check it [out]. Put the lights on and I started opening the overhead [bins]; to check if there's anything on fire and also under the seats as well as [asking] the passengers to remove their mask and so they can confirm [if] there's a smell in [area]. One of the passenger sitting in 14A told me he had Lithium Ion batteries in his bag. I grabbed the bag and opened it and I checked the battery however there's smoke coming out of his bag and neither the batteries are hot either. I tried to keep the Captain updated with the same information above. The smell lasted about 3 to 5 minutes and disappeared after that. Then we prepared the cabin for [a precautionary air return].
Procedure,Aircraft X was a PBI lander on the SHRVY1 arrival. The Pilot checked on with normal speed until RACNO; then published speed. The Pilot asked for normal speed along the arrival; to which I approved until TARTY (the PBI boundary fix); then published speeds. Aircraft Y was a ZZZ-TPA flight at FL180; on course.As Aircraft X made the turn at RACNO; the conflict alert began to flash. Aircraft X was already leaving FL190 in a descent per the arrival; and the separation was not lost at this point. I asked Aircraft X to expedite through and report leaving 17;000. I then called the traffic to him and asked him to report Aircraft Y in sight. He reported the aircraft insight as he entered the 3 mile bubble around Aircraft Y. I instructed him to maintain visual separation to which he responded with the appropriate response. No further incident occurred between these aircraft.This was a mistake on my part. I had a hoop on Aircraft Y specifically for this traffic and didn't get back around to Aircraft X to stop him due to the volume of the sector. I need to be more proactive and attentive with the low flights that cross the SHRVY arrival.Fatigue likely played some role in this event as our entire area has worked incredibly hard and for many hours during the holiday week. We've also had many controllers out; lowering our staffing even more. This is in no way an excuse for the error; merely a factor.
Aircraft,Left HYD QTY EICAS (Engine Indicating and Crew Alerting system) level at 17;000 ft. Quantity indicated 0. Pressure normal. Lost left A/P (Autopilot). [Requested priority handling] and requested climb to [FL] 280 to VMC. Stopped climb in at FL 230 VMC. Ran L HYD QTY checklist. Weather good at ZZZ so continued to uneventful landing on XXR.
Aircraft,Delayed reporting after Captain submitted [report]. Realized I should submit [a report] as well. Normal arrival into ZZZ. Snowstorm the previous night and into the morning. Ground taxi behind Aircraft Y with Captain riding the brakes. Taxiways with some snow and ice. Captain called for #2 engine shutdown. After arriving near the gate and lined up for a straight-in taxi; Captain set the parking brake; waiting for Ground crew to guide us in for the remaining 100 yards to the gate. Once directed by Ground crew; Captain released the parking brake and began to add power. No movement was noted and the Captain added more power; thinking that there was snow or ice preventing us from moving. I looked to checked that the parking brake was released and no message was displayed. I then looked at the pressure gauge and saw the needles pegged at 3000 psi; but was unable to recognize the discrepancy before the plane broke free with the asymmetric thrust and skidded in a 150-degree right hand turn. Once stopped; we confirmed that the needles were at 3000 psi with the brakes released. The Captain cycled the parking brake and the pressure returned to normal. With Ramp coordination; we continued our right-hand turn and returned to the gate normally. The brake issue was not reported via maintenance report since indications had return to normal. Follow-on flight crew was at the gate and we gave a verbal report of what happened with the brakes.
Aircraft,Flight diversion occurred to ZZZ due to an enroute failure of the APU Generator. The #1 engine generator was initially on placard bringing the flight down to one single AC power source. No non-normal situation exists in the Flight Manual; but is trained that a single AC sources requires diversion to the nearest suitable airport. The Dispatcher contacted the Operations Manager immediately after the flight crew reported the event. I was notified of the event by calling the Dispatch to inquire about the flight status when [Software Program] alerted that the flight destined to ZZZ1 was diverting to ZZZ1; which was incorrect; but usually indicates something abnormal may be happening.Per 737 Flight Manual 'Landing at Nearest Suitable Airport' section; there are specific situations where pilot should plan to land at the nearest suitable airport to include 'Electrical - Only one AC power source remains.' No calls were made to the Maintenance Director or Chief Dispatcher until the diversion was in progress. Per the Dispatcher's Manual under the Dispatch Emergency/Irregular Checklist the Dispatcher should notify the Maintenance Director if the diversion to the nearest suitable airport is required. This also is in direct contravention to the Dispatcher's Manual for notification of any inflight notification of mechanical issues as well as the Dispatchers Manual Notification during irregular operations.The Flight Crew did [request priority handling] on arrival which was only discovered after I requested the Dispatcher get briefed by the flight. Failure to notify the Maintenance Director could have resulted in the [Company process] not being issued or company indication via Company process that [priority was requested] for a Operator flight.I have spoken with the Dispatcher for the flight to discuss the events in a post-review. After arrival in ZZZ the Director asked if I would issue the [Company Process]. I replied in the affirmative and requested the Director to have the Operations Managers advise the Maintenance Director when a similar significant event occurs. I was answered with silence.
Airport,We landed Runway 32 in ITH; Tower was reporting Runways as condition 5;5;5; and there were no NOTAMS or reports of poor or NIL braking anywhere on the field. We were assigned taxi route C-A Ramp and I determined that braking action on Runways and Taxiways was good and relayed this to Tower after exiting C. Upon exiting A and taxing onto RAMP; it became apparent that we were sliding across a patch of ice and I was unable to slow the aircraft using brakes or to steer using the tiller or rudder inputs. At this point idle thrust was causing the aircraft to accelerate over the patch of ice and the nose was beginning to veer to the left. I shut down the left engine which stopped the aircraft from veering further left and prevented us from accelerating; but we continued to slide forward. I then shut down he right engine and with all thrust removed I was able to use the brakes to bring the aircraft to a full stop. We remained approximately 100 ft. on all sides of the aircraft from anything that we could have hit; no damage or injuries resulted from the slide. Ops dumped sand on the ramp and urged us to restart the engines and taxi to the Gate under our own power. I discussed with Dispatch and told them that I felt uncomfortable with that plan due to concerns of FOD ingestion and Ramp condition. Dispatch agreed and told Ops that we would need to find another way. Ops made the decision to deplane the passengers on foot; and the XX passengers were escorted across the ramp and into the Terminal (approx 50 yards). After more than an hour; on-call Maintenance arrived and towed the aircraft to the Gate.
Aircraft,While at Gate XX during heavy wet snow with wind blowing 10-15 kts. 90 degrees from the right side; the APU tripped off line 3 separate times. At some point; we also noticed zero duct pressure. The mechanic found no issues [and] suggested shutting the APU down for several minutes. Upon restart; pressure was normal for approximately 10 minutes; then it started to decrease again. [Contributing factors were] heavy wet snow; [flying] in direct right crosswind; [and] possible issue with design of MAX APU inlet. [I suggest] publishing a note in AOM or somewhere to let crews know this is a possibility on the 737-MAX and have Boeing examine this scenario.
Ambiguous,Leaving the CDF (Central Deice Facility) we were given taxi instructions of Zulu; Golf; cross [Runway] 4L; hold short of [Taxiway] TT for a [Runway] 27L departure.  There was light snowfall at the time and local Tower had just turned the airport around to a west flow. As we left the CDF; Taxiway Zulu remained unplowed. We were able to use the blue taxiway edge post lights as guidance.  At that time; those lights were the only means of navigating that taxiway. Any and all pavement markings were indiscernible. The taxi was slow and methodical due to the conditions. It was very dark over on that side of the airport and difficult to see. As soon as we noticed we were slightly north of the [Taxiway] Golf intersection; we stopped the aircraft. At no time did we encroach onto [Runway] 27L/9R as the runway edge lights provided us guidance. ATC immediately queried us as to our position and asked if we were over the hold short line. As there was no way to tell by looking at the airport environment due to the snowfall; we used the AMM (Airport Moving Map) in our Jeppesen Charts which we both had already in use. The chart shows the hold short line well south of the [Taxiway] Golf intersection. According to the chart we had absolutely passed it; but we would have anyway if we had turned right onto [Taxiway] Golf to make our way to the [Taxiway] TT intersection. There was no way to see where the actual markings were on the concrete. While we did taxi slightly past the [Taxiway] Golf intersection due to the conditions and focusing on centerline discipline; I cannot tell you if we actually passed the hold short line that I assume is painted correctly on the ground. There were no lights flashing to denote the hold short line either. Also; there are 10 intersections to that runway; the AMM only shows 4 hold short lines. We were given instructions to taxi across [Runway] 9R and given a number to call. Eventually after taxiing to the active; we took off with no further issues. We landed in ZZZ and after the debrief with O'Hare ATC; we explained our situation. They had indicated to us that our position was not visible to them and the ground radar at that location was not always accurate. After our event; several other pilots voiced concern to Tower about the conditions and that is when they directed the plows to that area of the airport. This was conveyed to us by ATC directly when we called after we landed in ZZZ.  While I understand it is a new runway; there should be hold short lines depicted at every intersection accurately in our charts; including the low-vis charts. I have attached the most updated AMM screenshot of that taxiway intersection for [Runway] 9R.Weather was the main factor compounded by the errors in the Jeppesen charts.Having the CDF located on the west side of the airport with a west flow; plowing should take place before aircraft start movement on taxi routes to the departure runways. Also; Jeppesen needs to correct their charts.
Aircraft,My first officer and I were in the cruise segment of our flight at FL360 southbound from ZZZ heading towards ZZZ1 when we received the indication/annunciator that the right thrust reverser had unlocked and the light indication illuminated. I immediately began to slow the aircraft and asked the First Officer to get us a lower altitude. We were handed off to ZZZ1 Center who assigned us FL240. I used the air brakes to help slow us while maintaining a good rate of decent. Both thrust levers at idle. I instructed the FO (First Officer) to run the unlocked TR (Thrust Reverser) in flight checklist. ATC advised us that ZZZ2 was approximately 50 miles away from our position and we asked for vectors there. The checklist instructed us to shut down the affected engine. I delayed doing this until we were lower. In hindsight I don't think it would have made any difference to just shut it down at the time of reading. The TR never deployed and the light began intermittently going on and off. Around 18;000 feet we shut down the right side or Number 2 engine as per the checklist. Advised ATC of fuel and SOB (Souls on Board) and they asked if we needed emergency services. I can't remember if we asked for it or not but they were waiting for us when we landed. We discussed and agreed that we would land Flaps 25 and upon touchdown my FO would select Flaps 45 upon touchdown to insure we could use Lift Dump/aerodynamic breaking; we were single engine with a 20 plus knot gusting crosswind being that we had a great deal of runway we agreed that this was the best configuration for our aircraft. The conditions were less than ideal but I wanted to get the aircraft on the ground as soon as possible and as safely as we could. In hindsight; if I were to change any of my action the only other thing I would have done differently is check the winds at the destination; next time to make sure they are at least down the runway. I felt it was urgent to get down as quickly as possible in case the actual reverser were to deploy.
